0 0.00159265 -0.999999 0 0 3.14-0
0.1 0.153742 -0.988111 0.953566 0.148368 2.98724-0.965039
0.2 0.562806 -0.826589 1.51777 1.03341 2.54382-1.83618
0.3 0.960478 -0.278356 0.703868 2.42872 1.85288-2.52866
0.4 0.831418 0.555647 -1.6531 2.47355 0.981655-2.9751
0.5 0.0149155 0.999889 -3.13171 0.0467162 0.014916-3.13206
0.6 -0.815316 0.579017 -1.72794 -2.43312 -0.953274-2.98427
0.7 -0.966924 -0.255064 0.64942 -2.46189 -1.82871-2.5461
0.8 -0.577269 -0.816554 1.51896 -1.07384 -2.52621-1.8602
0.9 -0.162951 -0.986634 0.980028 -0.16186 -2.97791-0.993305
1 -0.00173437 -0.999998 0.0297566 -5.16088e-05 -3.13986-0.0297566
1.1 -0.144787 -0.989463 -0.926817 0.13562 -2.996290.936687
1.2 -0.548361 -0.836242 -1.51526 0.993624 -2.561191.81199
1.3 -0.953521 -0.301326 -0.756625 2.39428 -1.876882.51098
1.4 -0.846804 0.531905 1.57745 2.51133 -1.009952.96566
1.5 -0.0447319 0.998999 3.12864 0.14009 -0.04474683.13177
1.6 0.798505 0.601988 1.80185 -2.39006 0.9248082.99316
1.7 0.972844 -0.231463 -0.593314 -2.49371 1.804382.56332
1.8 0.591737 -0.806131 -1.5188 -1.11487 2.508381.88406
1.9 0.17241 -0.985025 -1.00618 -0.176114 2.968321.02148
2 0.00215949 -0.999998 -0.0595104 -0.000128512 3.139430.0595106
2.1 0.136088 -0.990697 0.8998 0.123602 3.00508-0.90825
2.2 0.533946 -0.845519 1.51148 0.954501 2.57833-1.78764
2.3 0.94607 -0.323962 0.807665 2.35863 1.90071-2.49309
2.4 0.861465 0.507816 -1.50108 2.54645 1.03815-2.95595
2.5 0.0745044 0.997221 -3.12251 0.233289 0.0745735-3.13121
2.6 -0.780995 0.624537 -1.87473 -2.34439 -0.896257-3.00179
2.7 -0.978221 -0.207565 0.535581 -2.52411 -1.77988-2.5803
2.8 -0.606197 -0.795315 1.51726 -1.15647 -2.49032-1.90775
2.9 -0.182117 -0.983277 1.03201 -0.191144 -2.95845-1.04956
3 -0.00286798 -0.999996 0.0892588 -0.000255994 -3.13872-0.0892591
3.1 -0.127647 -0.99182 -0.872534 0.112295 -3.01360.879731
3.2 -0.519572 -0.854427 -1.50646 0.916069 -2.595241.76312
3.3 -0.938141 -0.346253 -0.856962 2.32186 -1.924372.47496
3.4 -0.875397 0.483405 1.4241 2.5789 -1.066262.94598
3.5 -0.104204 0.994556 3.11332 0.326196 -0.1043933.13036
3.6 0.762796 0.646639 1.94648 -2.29613 0.8676263.01015
3.7 0.983041 -0.183385 -0.476261 -2.55301 1.755232.59705
3.8 0.620635 -0.784099 -1.5143 -1.19861 2.472041.93126
3.9 0.192069 -0.981382 -1.05749 -0.206964 2.948321.07755
4 0.00385979 -0.999993 -0.118999 -0.000459313 3.137730.119
4.1 0.119468 -0.992838 0.845036 0.101683 3.02184-0.851132
4.2 0.505252 -0.862972 1.50023 0.878355 2.61192-1.73845
4.3 0.929751 -0.368189 0.904497 2.28404 1.94786-2.45661
4.4 0.888592 0.458698 -1.34662 2.60868 1.09427-2.93575
4.5 0.133802 0.991008 -3.10109 0.418696 0.134204-3.12923
4.6 -0.74392 0.668269 -2.017 -2.24533 -0.838917-3.01824
4.7 -0.987289 -0.158937 0.415393 -2.58035 -1.73041-2.61357
4.8 -0.635039 -0.77248 1.50989 -1.24125 -2.45353-1.9546
4.9 -0.202261 -0.979332 1.0826 -0.223588 -2.93793-1.10544
5 -0.0051348 -0.999987 0.148727 -0.000763696 -3.13646-0.148729
5.1 -0.111551 -0.993759 -0.817324 0.0917456 -3.029810.822457
5.2 -0.490997 -0.871161 -1.49284 0.841382 -2.628361.71362
5.3 -0.920917 -0.389759 -0.95025 2.24523 -1.971172.43804
5.4 -0.901048 0.43372 1.26874 2.63578 -1.122182.92524
5.5 -0.163268 0.986582 3.08585 0.510673 -0.1640023.12782
5.6 0.724378 0.689403 2.08617 -2.192 0.8101323.02605
5.7 0.990949 -0.134236 -0.353021 -2.60605 1.705442.62985
5.8 0.649393 -0.760453 -1.50399 -1.28434 2.434811.97776
5.9 0.21269 -0.97712 -1.10731 -0.241028 2.927271.13324
6 0.00669291 -0.999978 -0.178442 -0.00119432 3.13490.178446
6.1 0.103899 -0.994588 0.789412 0.0824651 3.03751-0.793707
6.2 0.476818 -0.879002 1.48431 0.805171 2.64456-1.68863
6.3 0.911655 -0.410956 0.994206 2.20552 1.9943-2.41925
6.4 0.91276 0.408497 -1.19055 2.66022 1.14999-2.91448
6.5 0.192575 0.981282 -3.06761 0.602014 0.193786-3.12612
6.6 -0.704184 0.710018 -2.1539 -2.13621 -0.781273-3.03359
6.7 -0.994009 -0.109299 0.289193 -2.63004 -1.68031-2.64589
6.8 -0.663684 -0.748013 1.49658 -1.32786 -2.41586-2.00075
6.9 -0.223353 -0.974738 1.1316 -0.259296 -2.91634-1.16093
7 -0.00853395 -0.999964 0.208138 -0.00177631 -3.13306-0.208146
7.1 -0.0965134 -0.995332 -0.761315 0.0738218 -3.044930.764886
7.2 -0.462726 -0.886502 -1.47469 0.769741 -2.660531.66349
7.3 -0.901983 -0.431771 -1.03635 2.16498 -2.017252.40024
7.4 -0.923726 0.383053 1.11217 2.68199 -1.17772.90345
7.5 -0.221695 0.975116 3.0464 0.692607 -0.2235523.12414
7.6 0.683352 0.730089 2.2201 -2.07798 0.7523443.04086
7.7 0.996454 -0.0841414 -0.223959 -2.65226 1.655042.6617
7.8 0.677897 -0.735157 -1.48763 -1.37176 2.396692.02355
7.9 0.234245 -0.972178 -1.15544 -0.278402 2.905151.18851
